Outcome, Magnitude, Theta
0, 4.7609e+22, 0.634998
1, 1.81102e+22, 0.049931
0, 4.13332e+22, 0.635737
0, 2.95576e+22, 0.604193
0, 1.76587e+22, 1.2186
0, 4.35675e+22, 0.577842
1, 1.95375e+22, 0.462322
0, 1.94941e+22, 1.1479
0, 1.44429e+22, 1.2322
0, 4.19096e+22, 0.571607
1, 2.29207e+22, 0.951051
0, 3.54146e+22, 0.442241
0, 4.52754e+22, 0.608191
0, 3.60276e+22, 0.247746
0, 1.12347e+22, 1.40471
0, 3.1602e+22, 0.579338
0, 4.71306e+22, 0.591728
0, 2.648e+22, 1.31728
1, 1.30716e+22, 0.162487
0, 4.52765e+22, 0.250202
0, 2.05111e+22, 1.32395
1, 1.28598e+22, 1.22769
0, 3.70985e+22, 1.2683
1, 3.98208e+22, 0.0925459
0, 1.6959e+22, 0.775962
0, 3.81174e+22, 0.623971
0, 4.78639e+22, 1.44165
0, 2.77597e+22, 0.992258
1, 2.45986e+22, 0.041329
1, 2.1871e+22, 0.602102
0, 2.08057e+22, 0.808732
1, 3.60686e+22, 0.175399
0, 1.09513e+22, 1.19044
0, 4.43918e+22, 1.21353
0, 1.70837e+22, 1.23783
0, 3.42005e+22, 0.367521
0, 4.1669e+22, 1.19311
1, 1.05829e+22, 0.387227
0, 1.60591e+22, 0.987563
0, 4.18352e+22, 0.552415
0, 1.38622e+22, 0.77436
0, 3.18842e+22, 0.767249
0, 2.15817e+22, 0.952547
0, 4.5897e+22, 0.870389
1, 1.87364e+22, 0.0108094
1, 2.75164e+22, 0.156821
0, 2.93946e+22, 1.44302
0, 3.95601e+22, 0.929039
0, 4.86726e+22, 1.56018
1, 1.86209e+22, 0.0595634
0, 4.65412e+22, 0.297428
0, 4.56761e+22, 1.25903
0, 5.0901e+21, 1.39052
0, 2.75398e+22, 1.13929
0, 2.93857e+22, 0.358157
0, 9.4645e+21, 0.504346
0, 3.42464e+22, 1.5225
0, 9.48602e+21, 1.15121
0, 4.43263e+22, 0.499675
0, 3.00213e+22, 1.36103
0, 4.50024e+22, 1.01492
0, 2.39995e+22, 0.177616
1, 8.75911e+21, 0.134953
1, 9.81633e+21, 1.11517
1, 2.10934e+22, 0.199671
0, 3.83679e+22, 0.964417
0, 4.48446e+22, 1.0906
1, 2.80489e+22, 0.11346
1, 2.90175e+22, 0.037423
0, 3.37563e+22, 1.23348
0, 4.02759e+22, 1.40346
0, 3.20264e+22, 0.227474
0, 2.51924e+22, 0.443457
1, 8.68073e+21, 0.0236554
1, 6.46209e+21, 0.504479
0, 2.6612e+22, 1.36196
0, 2.14162e+22, 1.13632
1, 1.26722e+22, 0.430467
0, 2.92054e+22, 0.487513
0, 3.24083e+22, 0.547756
1, 4.41105e+22, 0.101354
0, 1.30359e+22, 1.04374
0, 1.11692e+22, 1.45479
1, 9.65858e+21, 0.606732
0, 4.22478e+22, 1.10499
1, 1.44018e+22, 0.156781
1, 1.65955e+22, 0.280471
1, 5.30313e+21, 1.08338
1, 1.52417e+22, 0.134845
0, 4.14893e+22, 0.148981
1, 1.96412e+22, 0.256243
0, 3.76442e+22, 1.09666
1, 1.04812e+22, 0.102399
0, 3.26365e+22, 0.560319
0, 4.54493e+22, 0.931985
0, 1.8912e+22, 0.729579
1, 9.10536e+21, 0.902762
0, 2.25682e+22, 1.23015
0, 4.16855e+22, 0.554015
0, 3.93284e+22, 0.92331
0, 3.77079e+22, 0.540385
0, 2.82561e+22, 0.848497
0, 3.22896e+22, 1.46391
0, 3.08943e+22, 1.1435
0, 3.3388e+22, 1.49016
0, 3.26121e+22, 0.287405
0, 1.02357e+22, 0.848417
0, 3.39392e+22, 0.391358
0, 2.61007e+22, 0.615692
0, 2.24854e+22, 1.03702
0, 3.10767e+22, 1.05173
