Outcome, Magnitude, Theta
0, 5.10065e+16, 0.662552
1, 8.37123e+15, 0.630744
1, 4.20027e+15, 1.21493
0, 9.50556e+16, 1.27607
0, 5.50785e+16, 0.331003
0, 9.11793e+16, 0.200887
1, 5.80959e+15, 0.511015
0, 8.22479e+16, 1.24062
0, 8.37486e+16, 1.56507
1, 8.76698e+16, 0.0232002
0, 3.85958e+16, 0.636685
0, 5.61011e+16, 0.580267
0, 6.6367e+16, 0.558716
0, 1.77303e+16, 0.853939
1, 6.29094e+16, 0.0641353
1, 1.01315e+16, 0.33113
0, 3.17713e+16, 1.46647
0, 6.31072e+16, 0.342952
1, 1.64015e+16, 1.39434
0, 7.3153e+16, 0.799161
0, 2.56645e+16, 0.886986
1, 2.24366e+16, 0.0882039
0, 9.54246e+16, 1.08449
0, 1.8175e+16, 0.601136
0, 7.08497e+16, 0.530845
1, 3.75083e+16, 0.0704911
0, 5.45153e+16, 1.22035
0, 6.87842e+16, 1.27846
0, 9.74342e+16, 1.49212
0, 4.61651e+16, 0.784549
0, 9.76155e+16, 1.18459
1, 7.74156e+16, 0.22887
0, 5.29221e+16, 1.00358
0, 7.85721e+16, 0.524101
0, 6.06959e+16, 1.28527
0, 5.92292e+16, 0.422075
0, 8.73503e+15, 1.22776
1, 2.76964e+16, 0.122698
1, 1.61007e+16, 0.0865944
0, 8.40715e+16, 1.528
0, 5.5353e+16, 0.62789
0, 7.74156e+16, 0.368873
1, 8.89101e+15, 0.550193
0, 7.09537e+16, 1.52573
0, 2.9636e+16, 1.07341
1, 2.3555e+16, 0.346173
1, 2.63531e+15, 1.11179
1, 3.59358e+16, 0.643129
0, 4.53008e+16, 1.57077
0, 9.34709e+16, 0.812567
1, 7.62971e+15, 0.620585
1, 1.43681e+16, 0.547316
1, 5.19387e+16, 0.0275986
0, 6.12759e+16, 0.662579
0, 3.56003e+15, 1.33725
0, 2.03086e+16, 1.30314
0, 5.49585e+16, 0.943697
0, 3.22588e+16, 1.52204
0, 5.76628e+16, 0.716662
0, 4.0213e+16, 0.253811
1, 1.13381e+16, 1.37347
0, 1.90613e+16, 0.665411
1, 3.15751e+16, 0.553785
0, 5.44493e+16, 1.07797
0, 5.76137e+16, 1.38082
1, 7.54304e+15, 0.439642
1, 4.17585e+16, 0.0257101
0, 9.95574e+16, 0.682668
0, 5.39242e+16, 1.34502
0, 3.11865e+16, 1.24245
0, 3.08216e+16, 0.817298
0, 6.91784e+16, 0.690415
1, 7.24844e+16, 0.080694
0, 3.79082e+16, 0.407457
0, 7.57239e+16, 1.00905
0, 7.63726e+16, 0.266322
0, 6.52015e+16, 0.829954
1, 1.17355e+16, 0.0988604
1, 6.76901e+15, 1.21537
0, 5.81975e+16, 0.537126
0, 9.14091e+16, 0.882523
0, 6.7745e+16, 1.20116
1, 2.01885e+16, 0.271619
1, 1.19688e+16, 0.543197
0, 9.38758e+16, 0.578304
0, 5.3778e+16, 0.323429
